1,2,3,4,5,6,7,8,class
140.000000, 138.351175, 152.047619, 150.279988, 136.000000, 135.493154, 139.383929, 138.766047, false
159.571429, 157.665689, 169.047619, 167.045994, 170.219298, 169.471278, 167.669643, 166.919736, true
97.738095, 96.613265, 104.095238, 102.849653, 134.000000, 133.503302, 129.758929, 129.178712, false
160.285714, 158.368510, 171.809524, 169.765972, 171.228070, 170.476414, 167.830357, 167.080452, true
195.166667, 192.891809, 149.476190, 147.899829, 170.377193, 169.664874, 181.866071, 181.063362, false
162.571429, 160.637760, 170.047619, 168.045190, 169.122807, 168.379622, 166.205357, 165.462326, true
207.642857, 205.247200, 201.785714, 199.434895, 233.692982, 232.665788, 223.401786, 222.403379, false
175.380952, 173.405251, 174.714286, 172.624933, 201.245614, 200.423065, 203.883929, 202.973840, true
175.666667, 173.676195, 168.261905, 166.453382, 196.754386, 195.903797, 188.205357, 187.372607, false
176.880952, 174.889147, 177.904762, 175.778321, 203.605263, 202.725605, 205.348214, 204.429546, true
117.190476, 115.802225, 113.642857, 112.281860, 167.131579, 166.397326, 142.607143, 141.992670, false
176.214286, 174.273258, 179.523810, 177.384273, 195.245614, 194.587694, 204.401786, 203.487358, true
113.904762, 112.542197, 128.333333, 126.943995, 168.710526, 167.969014, 145.169643, 144.533514, false
172.857143, 170.872989, 176.380952, 174.296903, 198.026316, 197.167661, 200.321429, 199.425378, true
128.904762, 127.381700, 115.000000, 113.624381, 108.692982, 108.239153, 126.705357, 126.142191, false
156.523810, 154.763407, 147.238095, 145.812000, 209.359649, 208.444347, 192.223214, 191.398226, true
127.690476, 126.214142, 120.333333, 118.942096, 111.289474, 110.803703, 124.080357, 123.577582, false
213.476190, 210.953440, 203.619048, 201.231484, 233.026316, 232.002326, 227.821429, 226.802616, true
167.380952, 165.381374, 181.452381, 179.280537, 160.131579, 159.452676, 184.071429, 183.272895, false
215.619048, 213.051685, 207.904762, 205.423273, 229.403509, 228.629086, 227.339286, 226.322242, true
92.000000, 90.920295, 64.023810, 63.744196, 58.105263, 57.860963, 87.392857, 87.043192, false
211.880952, 209.362033, 203.238095, 200.837490, 230.771930, 229.766591, 225.160714, 224.153346, true
196.047619, 193.726884, 191.071429, 188.835831, 167.070175, 166.349661, 176.482143, 175.694794, false
211.904762, 209.369751, 202.357143, 199.979110, 231.166667, 230.150875, 224.625000, 223.620074, true
155.833333, 154.108792, 77.214286, 76.300059, 88.763158, 88.392371, 107.419643, 107.000618, false
214.666667, 212.114580, 208.690476, 206.204631, 226.657895, 226.108180, 225.357143, 224.348882, true
178.190476, 176.106367, 152.333333, 150.532679, 145.859649, 145.249158, 162.928571, 162.270953, false
211.928571, 209.408980, 204.976190, 202.529795, 230.842105, 229.832199, 224.482143, 223.477789, true
143.666667, 142.005673, 111.880952, 110.645255, 171.324561, 170.572862, 152.750000, 152.070957, false
196.095238, 193.778940, 196.333333, 193.991797, 219.307018, 218.343300, 213.803571, 212.847517, true
150.047619, 148.360752, 156.690476, 154.958046, 183.228070, 182.426590, 178.169643, 177.372661, false
189.095238, 186.891392, 195.071429, 192.747389, 219.561404, 218.597764, 214.526786, 213.569222, true
157.476190, 155.991573, 146.833333, 145.163222, 158.947368, 158.270341, 160.428571, 159.712369, false
193.500000, 191.219924, 196.571429, 194.217977, 219.500000, 218.535567, 213.937500, 212.985605, true
204.714286, 202.266032, 207.357143, 204.924787, 216.061404, 215.121492, 218.151786, 217.183013, false
195.952381, 193.627869, 198.309524, 195.934578, 219.859649, 218.893254, 213.982143, 213.024744, true
85.285714, 84.269873, 85.547619, 84.545232, 60.394737, 60.237877, 70.366071, 70.059465, false
